block_id;X0;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77
0;674.5999999999999;656.9000000000001;403.19999999999993;950.4;764.6500000000001;481.15;163.64999999999998;619.0500000000001;419.1;327.45000000000005;764.8;585.05;704.9000000000001;347.4;798.8;637.0000000000001;431.35;533.2;189.75;319.55;317.45000000000005;487.25;359.5;339.5;824.6500000000001;209.7;661.0;411.34999999999997;489.30000000000007;609.1;295.4;469.3;389.40000000000003;329.55;301.5;119.8;455.3;225.64999999999998;295.55;575.1500000000001;289.6;331.5;99.85;199.7;219.70000000000002;449.3;369.5;169.75;109.85000000000001;279.6;299.6;269.65000000000003;429.35;756.75;978.4499999999999;838.6;1068.35;748.75;908.55;629.05;469.25;539.2;569.1;369.45000000000005;599.15;239.6;908.7;898.7;459.3;399.4;139.8;329.5;239.6;229.65;559.2;309.5;239.65;359.45
1;29.95;149.75;89.85;179.7;359.4;59.9;89.85;59.9;149.75;29.95;149.75;119.8;149.75;149.75;299.5;119.8;59.9;59.9;0.0;761.6999999999999;1429.6499999999999;1126.6;1222.3;1034.8;743.8;781.9;773.7499999999999;709.9499999999999;979.15;969.05;526.35;506.49999999999994;741.8499999999999;642.25;572.25;334.95;520.5;331.04999999999995;299.15;630.1999999999999;524.4;428.7;345.04999999999995;376.94999999999993;267.25;297.2;171.54999999999998;329.1;376.94999999999993;456.69999999999993;355.15;333.0;301.09999999999997;375.0;217.45;269.2;464.85;346.99999999999994;432.95;362.95;431.0;394.84999999999997;418.95;458.65;540.6999999999999;535.65;465.85;897.8499999999999;801.8499999999999;950.5;1282.75;1226.9;1045.35;978.5;1405.35;1731.6499999999999;1540.0;2034.75
2;679.4000000000001;1228.8999999999999;789.25;1138.95;1258.9;1318.8500000000001;779.3000000000001;689.4000000000001;569.5000000000001;779.2500000000001;1019.1500000000001;919.1500000000001;949.2;1148.9;949.2;1178.8500000000001;679.4000000000001;849.2;1628.35;779.2500000000002;1088.8;979.0000000000002;689.2500000000001;1428.5500000000002;1368.6;1038.95;959.0500000000002;589.35;1108.95;998.95;809.2500000000001;679.35;998.95;619.4000000000001;819.1500000000001;879.1500000000001;359.65000000000003;709.35;669.3500000000001;599.35;699.25;639.35;739.2;549.45;759.25;1138.75;699.3000000000001;359.65000000000003;909.1500000000001;639.4000000000001;769.2;779.1;905.1000000000001;1029.0;669.3000000000001;669.35;769.2500000000001;299.65;345.59999999999997;339.59999999999997;545.3500000000001;939.1500000000001;689.4000000000001;569.45;1098.95;689.3500000000001;749.2500000000001;865.1000000000001;479.6;649.25;1288.6000000000001;299.65000000000003;629.35;609.45;559.35;455.40000000000003;1008.8500000000001;629.3000000000001
3;53.91;5.99;41.93;83.86;113.81;101.83;89.85;71.88;83.86;59.9;77.87;35.94;35.94;41.93;107.82;1138.1;89.85;107.82;83.86;95.83999999999999;71.88;29.950000000000003;5.99;29.95;53.91;145.79000000000002;29.950000000000003;53.91;107.82;125.78999999999999;83.86;83.86;29.95;29.95;105.84;65.89;63.910000000000004;5.99;45.940000000000005;0.0;5.99;5.99;0.0;0.0;5.99;45.940000000000005;0.0;0.0;39.95;0.0;0.0;5.99;5.99;5.99;39.95;5.99;5.99;0.0;39.95;0.0;0.0;0.0;39.95;0.0;5.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.95;0.0;0.0;79.9;39.95;45.940000000000005
4;1267.9;1627.2;1008.25;998.1999999999999;1647.3;898.4;848.6;1108.1;688.9000000000001;808.5;758.5999999999999;850.58;309.45;818.6;529.05;888.35;858.4;557.02;978.3;475.23999999999995;379.29999999999995;668.85;608.95;329.5;469.15;654.89;568.95;429.15;369.25;519.3;419.2;279.4;618.8;501.18;519.1;698.8000000000001;539.1;389.15;379.29999999999995;514.99;359.4;614.9399999999999;379.29999999999995;235.59;421.23;199.6;99.8;339.4;459.1;169.65;610.98;369.34999999999997;289.45;439.2;149.75;429.15;618.9;599.0;249.54999999999998;309.5;299.40000000000003;349.34999999999997;339.6;509.15;229.55;299.5;559.15;269.45;225.64000000000001;617.02;589.1500000000001;500.99999999999994;367.2;411.23999999999995;610.9;327.19999999999993;720.65;485.04999999999995
5;15.95;31.9;31.9;31.9;47.849999999999994;31.9;0.0;0.0;47.849999999999994;0.0;15.95;15.95;31.9;31.9;31.9;15.95;31.9;47.849999999999994;0.0;0.0;0.0;31.9;47.849999999999994;31.9;0.0;0.0;31.9;15.95;15.95;0.0;0.0;51.849999999999994;71.8;39.9;235.39999999999998;71.8;59.849999999999994;19.95;71.8;87.75;51.849999999999994;55.849999999999994;55.849999999999994;71.8;35.9;55.849999999999994;67.8;231.4;55.849999999999994;75.8;71.8;95.75;19.95;127.64999999999999;115.64999999999999;87.75;71.8;15.95;31.9;51.849999999999994;87.75;87.75;87.75;115.7;51.849999999999994;79.75;19.95;91.75;55.849999999999994;19.95;51.849999999999994;15.95;15.95;35.9;19.95;87.75;71.8;19.95
6;0.0;0.0;29.95;29.95;0.0;0.0;0.0;0.0;0.0;29.95;0.0;0.0;0.0;0.0;29.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.95;0.0;0.0;0.0;59.9;29.95;0.0;0.0;103.8;289.45;285.45;285.45;207.6;467.09999999999997;285.45;187.67999999999998;311.4;129.75;103.8;181.65;233.54999999999998;311.4;429.04999999999995;381.24;285.35;784.55;880.3499999999999;1133.9;1169.8899999999999;982.2;648.8499999999999;724.65;684.75;447.2;485.13999999999993;451.2;405.24;479.09999999999997;654.8;854.4;772.55;582.99;437.15;459.16999999999996;389.25;437.24;704.7499999999999;523.0;840.45;680.6500000000001
7;;;;;;;;;;;0.0;0.0;0.0;0.0;49.95;0.0;0.0;49.95;0.0;0.0;0.0;0.0;49.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.95;0.0;199.8;49.95;0.0;0.0;0.0;0.0;0.0;0.0;99.9;0.0;0.0;0.0;0.0;49.95;0.0;0.0;0.0;0.0;149.85000000000002;0.0;49.95;0.0;49.95;0.0;0.0;0.0;0.0;0.0;0.0;49.95;0.0;49.95;49.95;0.0;49.95;49.95;0.0;0.0;0.0;99.9;49.95;0.0;0.0
8;;;;;;;;;;;;;;;;;;0.0;0.0;719.6;2158.8;809.5500000000001;449.75;809.5500000000001;629.65;179.9;809.5500000000001;179.9;359.8;539.7;0.0;0.0;449.75;359.8;179.9;0.0;179.9;0.0;89.95;269.85;0.0;269.85;0.0;89.95;89.95;0.0;179.9;0.0;179.9;89.95;89.95;0.0;359.8;89.95;0.0;179.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.95;719.6;359.8;809.5500000000001;989.45;899.5;269.85;269.85;449.75;629.65;1079.4;899.5;449.75;629.65
9;;;;2066.5499999999997;4762.05;5540.75;1797.0;2156.4;29.95;;7936.75;5271.2;1617.4;968.5;499.25;698.95;419.35;6179.799999999999;7307.999999999999;3574.1;2675.65;2076.6;1946.8;1907.0;2016.75;2226.35;2755.55;2515.85;2206.3999999999996;2336.2999999999997;1687.3;1817.05;4632.400000000001;3554.1;3504.2499999999995;2885.2;2495.95;1747.1499999999999;2765.4500000000003;2965.1;2815.35;3134.85;2346.15;1707.1999999999998;1407.6999999999998;2416.1;2515.7;2136.2999999999997;2455.7999999999997;2425.8;2266.0499999999997;2375.8;2805.1499999999996;2884.85;2116.4;2465.65;2295.95;1986.55;2655.5499999999997;2196.15;2236.1499999999996;2365.75;2286.1;2685.3;2066.2999999999997;1766.9;1806.75;3254.35;2156.1499999999996;1667.0499999999997;1617.1999999999998;1547.25;1427.4499999999998;1926.6;2196.1499999999996;1687.1;2166.25;1587.25
